تاریخ,نماد,volume,ارزش,دفعات معامله,high,low,close,close_diff,درصد قیمت پایانی,مقدار آخرین قیمت,تغییر آخرین قیمت,درصد آخرین قیمت,قیمت روز قبل,ارزش بازار,date
1395/9/13,شنفت1,67967,361054371,32,5440,5070,5249,10,0.19087612139721,5150,-89,-1.69879748,5239,6561250000000,1395/9/13
1395/9/14,شنفت1,18718,98157476,14,5251,5181,5249,0,0,5181,-68,-1.295484854,5249,6561250000000,1395/9/14
1395/9/15,شنفت1,8382,43122170,13,5200,5091,5247,-2,-0.03810249571346,5200,-49,-0.93351114497999,5249,6558750000000,1395/9/15
1395/9/16,شنفت1,27222,141082845,20,5288,5170,5243,-4,-0.07623403849818,5170,-77,-1.467505241,5247,6553750000000,1395/9/16
1395/9/17,شنفت1,42513,220224266,18,5239,5150,5238,-5,-0.09536524890329,5170,-73,-1.392332634,5243,6547500000000,1395/9/17
1395/9/20,شنفت1,79877,414888343,25,5240,5150,5231,-7,-0.1336387934326,5172,-66,-1.26002291,5238,6538750000000,1395/9/20
1395/9/21,شنفت1,20921,108305122,19,5229,5171,5229,-2,-0.03823360734085,5174,-57,-1.089657809,5231,6536250000000,1395/9/21
1395/9/22,شنفت1,46598,241962648,26,5258,5174,5226,-3,-0.05737234652897,5195,-34,-0.65021992732836,5229,6532500000000,1395/9/22
1395/9/23,شنفت1,9575,49416835,8,5277,5160,5225,-1,-0.01913509376195,5277,51,0.97588978185993,5226,6531250000000,1395/9/23
1395/9/24,شنفت1,73933,386943320,41,5350,5190,5226,1,0.01913875598086,5220,-5,-0.0956937799043,5225,6532500000000,1395/9/24
1395/9/28,شنفت1,117620,633861751,68,5405,5300,5264,38,0.72713356295445,5405,179,3.425181783,5226,6580000000000,1395/9/28
1395/9/29,شنفت1,26894,144450886,20,5400,5299,5270,6,0.11398176291793,5399,135,2.564589666,5264,6587500000000,1395/9/29
1395/9/30,شنفت1,112624,602248434,47,5399,5203,5287,17,0.32258064516129,5399,129,2.447817837,5270,6608750000000,1395/9/30
1395/10/1,شنفت1,97950,527632186,32,5400,5330,5307,20,0.37828636277662,5360,73,1.380745224,5287,6633750000000,1395/10/1
1395/10/6,شنفت1,14000,75869787,12,5440,5385,5310,3,0.05652911249293,5437,130,2.4495948746938,5307,6637500000000,1395/10/6
1395/10/7,شنفت1,48423,255383500,44,5462,5200,5307,-3,-0.05649717514124,5300,-10,-0.18832391713747,5310,6633750000000,1395/10/7
1395/10/8,شنفت1,17965,93379350,15,5387,5150,5303,-4,-0.07537214999057,5387,80,1.507443,5307,6628750000000,1395/10/8
1395/10/11,شنفت1,6474,33391918,10,5450,5152,5301,-2,-0.03771450122572,5160,-143,-2.696586838,5303,6626250000000,1395/10/11
1395/10/12,شنفت1,46731,240906154,22,5200,5130,5287,-14,-0.26410111299754,5130,-171,-3.2258064516129,5301,6608750000000,1395/10/12
1395/10/13,شنفت1,12819,67927335,13,5370,5112,5287,0,0,5299,12,0.22697181766597,5287,6608750000000,1395/10/13
1395/10/14,شنفت1,10176,53608731,5,5375,5150,5287,0,0,5150,-137,-2.591261585,5287,6608750000000,1395/10/14
1395/10/15,شنفت1,15707,81682881,9,5340,5150,5284,-3,-0.05674295441649,5335,48,0.90788727066389,5287,6605000000000,1395/10/15
1395/10/18,شنفت1,30755,159254260,10,5188,5156,5277,-7,-0.13247539742619,5160,-124,-2.34670704,5284,6596250000000,1395/10/18
1395/10/19,شنفت1,49635,254696718,28,5160,5091,5263,-14,-0.26530225506916,5091,-186,-3.52472996,5277,6578750000000,1395/10/19
1395/10/20,شنفت1,16881,84896205,20,5200,5000,5255,-8,-0.1520045601368,5200,-63,-1.197035911,5263,6568750000000,1395/10/20
1395/10/22,شنفت1,40512,203391340,18,5120,5001,5236,-19,-0.3615604186489,5002,-253,-4.814462417,5255,6545000000000,1395/10/22
1395/10/25,شنفت1,11606,58183375,6,5209,5010,5231,-5,-0.09549274255156,5010,-226,-4.316271963,5236,6538750000000,1395/10/25
1395/10/26,شنفت1,46188,234901888,32,5161,4970,5218,-13,-0.24851844771554,5080,-151,-2.886637354,5231,6522500000000,1395/10/26
1395/10/27,شنفت1,1337,6699000,4,5070,5000,5217,-1,-0.0191644308164,5070,-148,-2.8363357608279,5218,6521250000000,1395/10/27
1395/10/28,شنفت1,30455,155559500,18,5139,5001,5210,-7,-0.13417672992141,5120,-97,-1.859306115,5217,6512500000000,1395/10/28
1395/10/29,شنفت1,57070,286571800,25,5055,5000,5188,-22,-0.42226487523992,5000,-210,-4.030710173,5210,6485000000000,1395/10/29
1395/11/2,شنفت1,17150,85711679,19,5084,4960,5181,-7,-0.1349267540478,5000,-188,-3.623747109,5188,6476250000000,1395/11/2
1395/11/3,شنفت1,5834,28975870,11,5080,4960,5178,-3,-0.05790387955993,4970,-211,-4.072572862,5181,6472500000000,1395/11/3
1395/11/4,شنفت1,14590,72637808,21,5050,4931,5172,-6,-0.11587485515643,5020,-158,-3.051371186,5178,6465000000000,1395/11/4
1395/11/5,شنفت1,25074,128247120,10,5130,5000,5169,-3,-0.05800464037122,5100,-72,-1.392111369,5172,6461250000000,1395/11/5
1395/11/6,شنفت1,29220,146146854,13,5020,4999,5159,-10,-0.19346101760495,4999,-170,-3.288837299,5169,6448750000000,1395/11/6
1395/11/9,شنفت1,33100,166251638,15,5100,4970,5150,-9,-0.17445241325838,5030,-129,-2.50048459,5159,6437500000000,1395/11/9
1395/11/10,شنفت1,10694,53492860,12,5060,5000,5147,-3,-0.05825242718446,5060,-90,-1.747572816,5150,6433750000000,1395/11/10
1395/11/11,شنفت1,12553,63255390,15,5050,5030,5144,-3,-0.05828638041577,5030,-117,-2.273168836,5147,6430000000000,1395/11/11
1395/11/12,شنفت1,37327,187882521,24,5080,5000,5136,-8,-0.15552099533437,5000,-144,-2.799377916,5144,6420000000000,1395/11/12
1395/11/13,شنفت1,12872,64244000,19,5000,4950,5132,-4,-0.07788161993769,4950,-186,-3.6214953271028,5136,6415000000000,1395/11/13
1395/11/16,شنفت1,17094,83710644,21,5000,4878,5124,-8,-0.15588464536243,4895,-237,-4.618082619,5132,6405000000000,1395/11/16
1395/11/17,شنفت1,40073,196127060,29,5000,4868,5106,-18,-0.35128805620608,4871,-253,-4.9375487900078,5124,6382500000000,1395/11/17
1395/11/18,شنفت1,7996,38905303,19,4990,4851,5102,-4,-0.07833920877399,4860,-246,-4.81786134,5106,6377500000000,1395/11/18
1395/11/19,شنفت1,5259,25739021,12,4999,4850,5100,-2,-0.0392003136025,4950,-152,-2.979223834,5102,6375000000000,1395/11/19
1395/11/20,شنفت1,8921,43371407,10,4900,4851,5096,-4,-0.07843137254901,4860,-240,-4.705882353,5100,6370000000000,1395/11/20
1395/11/23,شنفت1,41172,199717996,44,5000,4842,5076,-20,-0.39246467817896,4842,-254,-4.984301413,5096,6345000000000,1395/11/23
1395/11/24,شنفت1,5546,26828580,11,4842,4823,5073,-3,-0.05910165484633,4838,-238,-4.688731284,5076,6341250000000,1395/11/24
1395/11/25,شنفت1,73103,353097840,41,4969,4820,5037,-36,-0.70963926670609,4822,-251,-4.947762665,5073,6296250000000,1395/11/25
1395/11/26,شنفت1,43133,206624566,31,4970,4786,5016,-21,-0.4169148302561,4786,-251,-4.9831248759182,5037,6270000000000,1395/11/26
1395/11/27,شنفت1,141589,674981754,52,4850,4766,4946,-70,-1.39553429,4766,-250,-4.984051037,5016,6182500000000,1395/11/27
1395/11/30,شنفت1,184060,868159980,84,4799,4699,4862,-84,-1.698342095,4699,-247,-4.9939344925192,4946,6077500000000,1395/11/30
1395/12/1,شنفت1,62818,291865292,37,4699,4630,4835,-27,-0.55532702591526,4636,-226,-4.648292883587,4862,6043750000000,1395/12/1
1395/12/2,شنفت1,131249,610914284,75,4894,4600,4788,-47,-0.97207859358841,4600,-235,-4.860392968,4835,5985000000000,1395/12/2
1395/12/3,شنفت1,177250,808298378,90,4594,4549,4707,-81,-1.691729323,4552,-236,-4.92898914,4788,5883750000000,1395/12/3
1395/12/4,شنفت1,293305,1379050298,78,4770,4558,4704,-3,-0.06373486297004,4769,62,1.317187168,4707,5880000000000,1395/12/4
1395/12/7,شنفت1,155469,754387888,73,4930,4738,4750,46,0.97789115646258,4770,66,1.403061224,4704,5937500000000,1395/12/7
1395/12/8,شنفت1,26287,124453648,23,4869,4680,4749,-1,-0.02105263157894,4700,-50,-1.052631579,4750,5936250000000,1395/12/8
1395/12/9,شنفت1,159481,726041484,43,4749,4512,4686,-63,-1.326595073,4533,-216,-4.5483259633607,4749,5857500000000,1395/12/9
1395/12/10,شنفت1,73237,337359634,25,4737,4550,4674,-12,-0.25608194622279,4550,-136,-2.902262057,4686,5842500000000,1395/12/10
1395/12/11,شنفت1,38998,177314565,32,4699,4510,4664,-10,-0.21394950791613,4550,-124,-2.652973898,4674,5830000000000,1395/12/11
1395/12/14,شنفت1,31827,144124455,17,4605,4500,4655,-9,-0.19296740994854,4500,-164,-3.516295026,4664,5818750000000,1395/12/14
1395/12/15,شنفت1,13273,59984870,8,4585,4500,4651,-4,-0.08592910848549,4585,-70,-1.503759398,4655,5813750000000,1395/12/15
1395/12/16,شنفت1,76925,346231606,20,4550,4500,4628,-23,-0.49451730810578,4550,-101,-2.171576005,4651,5785000000000,1395/12/16
1395/12/17,شنفت1,20815,94205007,12,4599,4485,4624,-4,-0.08643042350907,4485,-143,-3.08988764,4628,5780000000000,1395/12/17
1395/12/18,شنفت1,43432,197200486,12,4624,4510,4617,-7,-0.15138408304498,4510,-114,-2.465397924,4624,5771250000000,1395/12/18
1395/12/21,شنفت1,11681,52566800,9,4510,4500,4614,-3,-0.06497725795971,4500,-117,-2.53411306,4617,5767500000000,1395/12/21
1395/12/22,شنفت1,48941,219334590,31,4501,4420,4601,-13,-0.28175119202427,4450,-164,-3.5543996532293,4614,5751250000000,1395/12/22
1395/12/23,شنفت1,38443,171119498,33,4498,4422,4589,-12,-0.26081286676809,4497,-104,-2.260378179,4601,5736250000000,1395/12/23
1395/12/24,شنفت1,85607,380505604,25,4489,4411,4564,-25,-0.54478099803878,4438,-151,-3.290477228,4589,5705000000000,1395/12/24
1395/12/25,شنفت1,73545,326058539,31,4497,4425,4545,-19,-0.41630148992112,4452,-112,-2.45398773,4564,5681250000000,1395/12/25
1395/12/28,شنفت1,92634,421556393,29,4700,4450,4546,1,0.02200220022002,4550,5,0.11001100110011,4545,5682500000000,1395/12/28
1396/1/5,شنفت1,9909,45645746,7,4697,4550,4547,1,0.02199736031676,4550,4,0.08798944126704,4546,5683750000000,1396/1/5
1396/1/6,شنفت1,21983,99111680,14,4550,4500,4545,-2,-0.04398504508467,4542,-5,-0.10996261271167,4547,5681250000000,1396/1/6
1396/1/7,شنفت1,28533,130162478,14,4659,4500,4546,1,0.02200220022002,4555,10,0.22002200220022,4545,5682500000000,1396/1/7
1396/1/8,شنفت1,18779,87034651,12,4666,4551,4549,3,0.06599208095028,4666,120,2.639683238,4546,5686250000000,1396/1/8
1396/1/9,شنفت1,25954,120025574,18,4699,4600,4553,4,0.08793141349747,4601,52,1.143108375,4549,5691250000000,1396/1/9
1396/1/14,شنفت1,25327,119105478,17,4747,4550,4561,8,0.17570832418185,4730,177,3.887546673,4553,5701250000000,1396/1/14
1396/1/15,شنفت1,71697,339728436,31,4750,4700,4586,25,0.54812541109405,4730,169,3.705327779,4561,5732500000000,1396/1/15
1396/1/16,شنفت1,51010,241694123,32,4759,4710,4602,16,0.34888791975577,4741,155,3.3798517226341,4586,5752500000000,1396/1/16
1396/1/19,شنفت1,70093,329118774,31,4703,4660,4615,13,0.28248587570621,4700,98,2.129508909,4602,5768750000000,1396/1/19
1396/1/20,شنفت1,511060,2437721443,92,4845,4563,4770,155,3.358613218,4845,230,4.983748646,4615,5962500000000,1396/1/20
1396/1/21,شنفت1,276697,1345898404,63,4985,4775,4822,52,1.0901467505241,4900,130,2.725366876,4770,6027500000000,1396/1/21
1396/1/23,شنفت1,89161,433071206,29,4987,4840,4828,6,0.12442969722107,4840,18,0.37328909166321,4822,6035000000000,1396/1/23
